,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
1,0.255769952,-0.637585059,-0.148196466,0.607412612,-0.868902878,-0.274648326,0.290425086,0.264086213,0.328049111,-0.853037788,-0.067541619,-0.160341432,-0.802250324,-0.171001598,0.255769952,0.117662889,-0.659853633,0.341344035,-0.593045269,0.219865196,0.455488206,0.948501325,0.550294721,-0.314317393,-0.696444506,-0.325102408,0.264086213,0.682121242,-1.120789174,-0.868902878,0.607412612,-0.154796352,-0.019418568,0.682121242,-0.024571001,-0.002170177,0.750143608,-0.154796352,-1.402260402,-0.833865488,0.813896192,0.10493586,-0.546070708,0.865693523,-0.160341432,-0.958778178,-0.2441683,0.542873673,0.122874749,-0.977695901,-0.476875478,-0.659853633,0.1780198,0.952357808,-0.46737594,0.10493586,-0.833865488,0.364284774,-0.210123559,-0.911526956,1.098599139,-0.019418568,0.65994675,-0.286379719,0.750143608,1.070332873,0.219865196,-0.002170177,0.56152446,-0.602167932,0.865693523,1.098599139,0.542873673,0.542873673,0.122874749,0.980857685,0.186114056,-0.004338247,0.623996182,0.473189857,-0.036868669,-0.602167932,0.813896192,-1.189425326,-1.173729525,-0.602167932,-0.160341432,-0.203615351,0.255769952,0.607412612,-0.004338247,0.155609061,0.025745732,-0.46737594,-0.574095141,0.10493586,-0.019418568,-0.15078449,0.65994675,0.273532835
2,0.136869284,-0.203615351,-0.057165481,-0.024571001,0.393152007,0.397730304,0.431695594,-0.223262024,0.305800096,-0.6146622,0.980857685,0.186114056,-0.574095141,-0.299013277,0.136869284,0.623996182,-0.002170177,-0.098807842,-0.101854488,-0.160341432,-0.210123559,-0.019418568,0.473189857,-0.156098968,-0.532665189,0.00387036,-0.223262024,-0.14592932,0.161543036,0.393152007,-0.024571001,-0.853037788,-0.593045269,-0.14592932,-0.469066365,0.630944042,0.49235363,-0.853037788,-0.546070708,-0.897280427,0.865693523,0.155609061,0.776367418,0.00128448,0.186114056,-0.977695901,-0.637585059,0.448389194,0.191544323,0.157517794,-0.195369639,-0.002170177,0.752983063,0.114985847,0.272059423,0.155609061,-0.897280427,0.264086213,-0.809269771,-0.178710286,0.638870982,-0.593045269,0.086925207,0.319144846,0.49235363,-0.094189142,-0.160341432,0.630944042,-0.01256826,-0.286379719,0.00128448,0.638870982,0.448389194,0.448389194,0.191544323,1.070332873,0.65994675,-0.036868669,0.503645366,-0.12312455,0.290425086,-0.286379719,0.865693523,-0.868902878,-1.120789174,-0.286379719,0.186114056,0.417276778,0.136869284,-0.024571001,-0.036868669,-0.047977585,-0.172218554,0.272059423,0.201098843,0.155609061,-0.593045269,0.10493586,0.086925207,0.182834113
3,-0.228120059,0.417276778,0.251159773,-0.469066365,1.04583805,1.098599139,-0.031242368,-0.325102408,-0.2441683,0.072573028,1.070332873,0.65994675,0.201098843,-0.274648326,-0.228120059,0.503645366,0.630944042,-0.15078449,0.529678138,0.186114056,-0.809269771,-0.593045269,-0.12312455,-0.081133138,0.117662889,0.236374172,-0.325102408,-1.173729525,1.243259368,1.04583805,-0.469066365,-0.6146622,-0.101854488,-1.173729525,-0.476875478,0.56152446,0.025745732,-0.6146622,0.776367418,-0.067541619,0.00128448,-0.047977585,0.948501325,-0.833865488,0.65994675,0.157517794,-0.203615351,0.043042985,-0.004338247,1.101681082,0.122874749,0.630944042,0.607412612,-0.802250324,0.730837463,-0.047977585,-0.067541619,-0.223262024,-0.642976149,0.813896192,-0.731240648,-0.101854488,-0.958778178,0.219865196,0.025745732,-1.189425326,0.186114056,0.56152446,-0.314317393,0.319144846,-0.833865488,-0.731240648,0.043042985,0.043042985,-0.004338247,-0.094189142,0.086925207,0.290425086,-0.114731837,-0.602167932,0.431695594,0.319144846,0.00128448,0.393152007,0.161543036,0.319144846,0.65994675,0.341344035,-0.228120059,-0.469066365,0.290425086,-0.168962995,-0.230007855,0.730837463,0.420563751,-0.047977585,-0.101854488,0.155609061,-0.958778178,-0.214857506
4,-0.621598316,0.341344035,0.6784096,-0.476875478,0.52637506,0.638870982,-0.534836838,0.00387036,-0.637585059,0.550294721,-0.094189142,0.086925207,0.420563751,0.397730304,-0.621598316,-0.114731837,0.56152446,0.10493586,0.455488206,0.65994675,-0.642976149,-0.101854488,-0.602167932,-0.206671853,0.623996182,0.273532835,0.00387036,-1.120789174,0.969922863,0.52637506,-0.476875478,0.072573028,0.529678138,-1.120789174,-0.195369639,-0.01256826,-0.172218554,0.072573028,0.948501325,0.980857685,-0.833865488,-0.168962995,-0.019418568,-0.897280427,0.086925207,1.101681082,0.417276778,-0.331194959,-0.036868669,0.823405403,0.191544323,0.56152446,-0.024571001,-0.574095141,0.536289843,-0.168962995,0.980857685,-0.325102408,0.208053508,0.865693523,-1.402260402,0.529678138,-0.977695901,-0.160341432,-0.172218554,-0.868902878,0.65994675,-0.01256826,-0.156098968,0.219865196,-0.897280427,-1.402260402,-0.331194959,-0.331194959,-0.036868669,-1.189425326,-0.958778178,0.431695594,-0.592642753,-0.286379719,-0.031242368,0.219865196,-0.833865488,1.04583805,1.243259368,0.219865196,0.086925207,-0.098807842,-0.621598316,-0.476875478,0.431695594,-0.171001598,-0.245220179,0.536289843,0.255769952,-0.168962995,0.529678138,-0.047977585,-0.977695901,-0.673016422
5,-0.221136773,-0.098807842,0.682121242,-0.195369639,-0.395045949,-0.731240648,-0.412927481,0.236374172,-0.203615351,0.473189857,-1.189425326,-0.958778178,0.255769952,1.098599139,-0.221136773,-0.592642753,-0.01256826,0.155609061,-0.210123559,0.086925207,0.208053508,0.529678138,-0.286379719,-0.026091957,0.503645366,0.182834113,0.236374172,0.161543036,-0.154796352,-0.395045949,-0.195369639,0.550294721,0.455488206,0.161543036,0.122874749,-0.314317393,-0.230007855,0.550294721,-0.019418568,1.070332873,-0.897280427,-0.171001598,-0.593045269,-0.067541619,-0.958778178,0.823405403,0.341344035,-0.578150567,0.290425086,-0.186110601,-0.004338247,-0.01256826,-0.469066365,0.201098843,-0.112557583,-0.171001598,1.070332873,0.00387036,0.750143608,0.00128448,-0.546070708,0.455488206,0.157517794,0.186114056,-0.230007855,0.393152007,0.086925207,-0.314317393,-0.081133138,-0.160341432,-0.067541619,-0.546070708,-0.578150567,-0.578150567,0.290425086,-0.868902878,-0.977695901,-0.031242368,-0.469919402,0.319144846,-0.534836838,-0.160341432,-0.897280427,0.52637506,0.969922863,-0.160341432,-0.958778178,-0.15078449,-0.221136773,-0.195369639,-0.031242368,-0.299013277,-0.195088634,-0.112557583,0.136869284,-0.171001598,0.455488206,-0.168962995,0.157517794,-0.411977181
6,0.629075559,-0.15078449,-0.14592932,0.122874749,-0.815592556,-1.402260402,0.01892379,0.273532835,0.417276778,-0.12312455,-0.868902878,-0.977695901,0.136869284,0.638870982,0.629075559,-0.469919402,-0.314317393,-0.047977585,-0.809269771,-0.958778178,0.750143608,0.455488206,0.319144846,0.364284774,-0.114731837,-0.214857506,0.273532835,1.243259368,-0.853037788,-0.815592556,0.122874749,0.473189857,-0.210123559,1.243259368,0.191544323,-0.156098968,-0.245220179,0.473189857,-0.593045269,-0.094189142,-0.067541619,-0.299013277,-0.101854488,0.980857685,-0.977695901,-0.186110601,-0.098807842,-0.458648431,0.431695594,-0.740113756,-0.036868669,-0.314317393,-0.476875478,0.420563751,-0.683085925,-0.299013277,-0.094189142,0.236374172,0.49235363,-0.833865488,0.776367418,-0.210123559,1.101681082,0.65994675,-0.245220179,1.04583805,-0.958778178,-0.156098968,-0.206671853,0.186114056,0.980857685,0.776367418,-0.458648431,-0.458648431,0.431695594,0.393152007,0.157517794,-0.534836838,0.105764347,0.219865196,-0.412927481,0.186114056,-0.067541619,-0.395045949,-0.154796352,0.186114056,-0.977695901,0.10493586,0.629075559,0.122874749,-0.534836838,-0.274648326,-0.148196466,-0.683085925,-0.228120059,-0.299013277,-0.210123559,-0.171001598,1.101681082,0.550195303
7,0.697449688,0.10493586,-1.173729525,0.191544323,-0.46737594,-0.546070708,0.158238284,0.182834113,0.341344035,-0.602167932,0.393152007,0.157517794,-0.228120059,-0.731240648,0.697449688,0.105764347,-0.156098968,-0.168962995,-0.642976149,-0.977695901,0.49235363,-0.210123559,0.219865196,0.264086213,-0.592642753,-0.673016422,0.182834113,0.969922863,-0.6146622,-0.46737594,0.191544323,-0.12312455,-0.809269771,0.969922863,-0.004338247,-0.081133138,-0.195088634,-0.12312455,-0.101854488,-1.189425326,0.980857685,-0.274648326,0.529678138,1.070332873,0.157517794,-0.740113756,-0.15078449,0.1780198,-0.031242368,-0.544102446,0.290425086,-0.156098968,-0.195369639,0.255769952,-0.659853633,-0.274648326,-1.189425326,0.273532835,0.025745732,-0.897280427,0.948501325,-0.809269771,0.823405403,0.086925207,-0.195088634,0.52637506,-0.977695901,-0.081133138,-0.026091957,0.65994675,1.070332873,0.948501325,0.1780198,0.1780198,-0.031242368,1.04583805,1.101681082,-0.412927481,0.542873673,-0.160341432,0.01892379,0.65994675,0.980857685,-0.815592556,-0.853037788,0.65994675,0.157517794,0.155609061,0.697449688,0.191544323,-0.412927481,0.397730304,-0.057165481,-0.659853633,-0.621598316,-0.274648326,-0.809269771,-0.299013277,0.823405403,0.952357808
8,-0.092280875,0.155609061,-1.120789174,-0.004338247,0.272059423,0.776367418,0.153238356,-0.214857506,-0.098807842,-0.286379719,1.04583805,1.101681082,-0.621598316,-1.402260402,-0.092280875,0.542873673,-0.081133138,-0.171001598,0.208053508,0.157517794,0.025745732,-0.809269771,-0.160341432,-0.223262024,-0.469919402,-0.411977181,-0.214857506,-0.154796352,0.072573028,0.272059423,-0.004338247,-0.602167932,-0.642976149,-0.154796352,-0.036868669,-0.206671853,-0.148196466,-0.602167932,0.529678138,-0.868902878,1.070332873,0.397730304,0.455488206,-0.094189142,1.101681082,-0.544102446,0.10493586,0.752983063,-0.534836838,-0.087002525,0.431695594,-0.081133138,0.122874749,0.136869284,-0.002170177,0.397730304,-0.868902878,0.182834113,-0.172218554,-0.067541619,-0.019418568,-0.642976149,-0.186110601,-0.958778178,-0.148196466,-0.395045949,0.157517794,-0.206671853,0.364284774,0.086925207,-0.094189142,-0.019418568,0.752983063,0.752983063,-0.534836838,0.52637506,0.823405403,0.01892379,0.448389194,0.186114056,0.158238284,0.086925207,1.070332873,-0.46737594,-0.6146622,0.086925207,1.101681082,-0.047977585,-0.092280875,-0.004338247,0.01892379,1.098599139,0.251159773,-0.002170177,-0.221136773,0.397730304,-0.642976149,-0.274648326,-0.186110601,0.114985847
9,-0.696444506,-0.047977585,0.161543036,-0.036868669,0.730837463,0.948501325,0.328049111,-0.673016422,-0.15078449,0.319144846,0.52637506,0.823405403,-0.221136773,-0.546070708,-0.696444506,0.448389194,-0.206671853,-0.299013277,0.750143608,1.101681082,-0.172218554,-0.642976149,0.186114056,-0.325102408,0.105764347,0.550195303,-0.673016422,-0.853037788,0.550294721,0.730837463,-0.036868669,-0.286379719,0.208053508,-0.853037788,0.290425086,-0.026091957,-0.057165481,-0.286379719,0.455488206,0.393152007,-0.094189142,1.098599139,-0.210123559,-1.189425326,0.823405403,-0.087002525,0.155609061,0.607412612,-0.412927481,0.388171243,-0.031242368,-0.206671853,0.191544323,-0.228120059,0.630944042,1.098599139,0.393152007,-0.214857506,-0.230007855,0.980857685,-0.593045269,0.208053508,-0.740113756,-0.977695901,-0.057165481,-0.815592556,1.101681082,-0.026091957,0.264086213,-0.958778178,-1.189425326,-0.593045269,0.607412612,0.607412612,-0.412927481,-0.395045949,-0.186110601,0.158238284,0.043042985,0.65994675,0.153238356,-0.958778178,-0.094189142,0.272059423,0.072573028,-0.958778178,0.823405403,-0.168962995,-0.696444506,-0.036868669,0.158238284,0.638870982,0.6784096,0.630944042,0.629075559,1.098599139,0.208053508,0.397730304,-0.740113756,-0.802250324
10,-0.532665189,-0.168962995,1.243259368,0.290425086,0.536289843,-0.019418568,0.305800096,-0.411977181,0.10493586,0.219865196,-0.395045949,-0.186110601,0.629075559,0.776367418,-0.532665189,0.043042985,-0.026091957,-0.274648326,0.49235363,0.823405403,-0.230007855,0.208053508,0.65994675,0.00387036,0.542873673,0.952357808,-0.411977181,-0.6146622,0.473189857,0.536289843,0.290425086,0.319144846,0.750143608,-0.6146622,0.431695594,0.364284774,0.251159773,0.319144846,-0.210123559,1.04583805,-1.189425326,0.638870982,-0.809269771,-0.868902878,-0.186110601,0.388171243,-0.047977585,-0.024571001,0.01892379,0.642543929,-0.534836838,-0.026091957,-0.004338247,-0.621598316,0.56152446,0.638870982,1.04583805,-0.673016422,-0.245220179,1.070332873,-0.101854488,0.750143608,-0.544102446,0.157517794,0.251159773,-0.46737594,0.823405403,0.364284774,-0.223262024,-0.977695901,-0.868902878,-0.101854488,-0.024571001,-0.024571001,0.01892379,-0.815592556,-0.740113756,0.153238356,-0.331194959,0.086925207,0.328049111,-0.977695901,-1.189425326,0.730837463,0.550294721,-0.977695901,-0.186110601,-0.171001598,-0.532665189,0.290425086,0.153238356,-0.731240648,0.682121242,0.56152446,0.697449688,0.638870982,0.750143608,1.098599139,-0.544102446,-0.574095141
